4,0023
0,99
1,0007
2,0199
1,0197
2,0009
2,0009
2,9832
2,006
3,0016
6,9962
3,9833
6,0037
7,0044
6,0048
11,9972
14,0083
11,0042
28,0183
10,0035
15,0101
30,0217
35,0243
22,0366
37,0308
59,0613
35,0432
37,0283
25,0198
54,052
32,0427
58,0405
52,0527
19,0134
68,0471
48,0304
71,0502
96,049
92,0785
121,0728
78,0676
90,0591
103,0874
114,0623
61,0468
126,1067
188,148
204,1445
62,0439
106,0766
95,0801
98,0679
87,0796
267,1886
167,1182
86,0604
278,1876
219,1458
74,0514
155,0949
293,2091
162,1003
223,1395
369,2521
160,1123
139,0985
266,1832
391,2903
529,3962
150,0893
536,3775
504,3723
121,0868
433,3241
468,3365
175,1383
242,1842
204,144
249,1764
520,3688
227,1608
203,1443
390,2772
672,4892
194,1374
559,3964
473,3345
555,3935
410,3042
274,1935
377,2675
375,2651
781,5536
403,2854
337,2377
386,2862
503,3659
339,2416
892,6194
381,2693
891,6146
371,2591
922,6668
628,4309
825,5981
367,2588
706,5015
439,3391
816,5918
1110,7671
990,7145
942,6543
615,4356
294,1898
1069,7586
1602,1282
479,3382
690,4876
1758,2351
1232,8689
1042,739
673,471
1803,2762
766,5296
451,306
1424,9992
895,6333
1033,7495
573,4002
1236,866
1235,8556
866,5948
924,6672
919,6503
1529,1026
1272,887
761,5405
2664,8854
1913,3536
2247,5911
1150,8139
1362,9645
725,5125
1540,075
994,7198
819,581
819,5739
3047,158
2927,0576
1343,9501
900,6569
1584,1349
1967,3923
915,6541
1468,0364
1514,0854
731,5265
1110,7995
1263,8806
2403,7144
1712,2061
1003,7098
1887,3228
2292,6358
1842,3223
2140,5282
3549,5115
1328,9405
2224,5866
1941,3544
4725,3641
2145,5174
1588,1378
734,5188
1758,4306
1150,8298
1063,7528
1065,7419
2479,7364
1299,9348
2647,8534
2155,5265
2300,6091
2099,4745
1237,893
4814,4061
4337,0827
1147,8303
2411,7063
4507,2066
1238,8793
1370,9876
1652,1821
2069,464
2185,5615
1093,7879
1419,0161
1678,2
2708,915

